"Row_Name","Nose_Poke #1: On","Tray #1: On","Nose_Poke #1: Off"
"301","0.404",,"0.194"
"302","0.134",,"0.134"
"303","0.120",,"0.255"
"304","0.210",,"0.314"
"305","0.343",,"0.135"
"306","0.076",,"0.163"
"307","0.313",,"0.254"
"308","0.420",,"0.389"
"309","0.359",,"0.331"
"310","16.958",,"17.302"
"311","0.433",,"0.238"
"312","0.029",,"74.929"
"313","75.019",,"0.224"
"314","0.210",,"14.100"
"315","14.130",,"1.062"
"316","1.017",,"0.224"
"317","0.238",,"12.254"
"318","10.967",,"0.150"
"319","1.453",,"0.239"
"320","0.178",,"0.224"
"321","0.224",,"14.015"
"322","13.687",,"0.374"
"323","0.478",,"0.345"
"324","0.374",,"0.346"
"325","0.419",,"0.178"
"326","0.285",,"0.149"
"327","0.225",,"0.091"
"328","0.119",,"0.208"
"329","0.195",,"0.345"
"330","0.254",,"16.197"
"331","16.033",,"0.210"
"332","0.329",,"60.722"
"333","60.453",,"0.855"
"334","0.479",,"0.375"
"335","1.019",,"13.418"
"336","12.803",,"0.150"
"337","0.810",,"0.837"
"338","0.793",,"0.210"
"339","0.313",,"0.750"
"340","0.315",,"15.638"
"341","14.903",,"1.229"
"342","1.319",,"0.315"
"343","1.229",,"0.224"
"344","0.344",,"0.360"
"345","0.315",,"0.330"
"346","0.450",,"15.380"
"347","14.572",,"0.165"
"348","0.973",,"0.270"
"349","0.120",,"1.004"
"350","0.254",,"0.163"
"351","1.050",,"0.211"
"352","0.089",,"0.434"
"353","0.480",,"0.059"
"354","0.180",,"0.224"
"355","0.224",,"15.788"
"356","15.653",,"0.465"
"357","0.210",,"0.524"
"358","0.539",,"0.254"
"359","0.450",,"0.315"
"360","0.284",,"0.193"
"361","0.284",,"0.180"
"362","0.224",,"0.103"
"363","0.120",,"0.479"
"364","0.088",,"0.075"
"365","0.509",,"0.269"
"366","0.210",,"0.420"
"367","0.299",,"0.314"
"368","0.495",,"23.159"
"369","22.830",,"0.149"
"370","0.419",,"3.105"
"371","3.059",,"401.589"
"372","401.557",,"0.134"
"373","0.255",,"0.208"
"374","0.089",,"21.719"
"375","21.117",,"0.614"
"376","1.334",,"0.374"
"377","0.269",,"21.020"
"378","20.363",,"0.285"
"379","0.867",,"0.224"
"380","0.315",,"0.150"
"381","0.240",,"0.328"
"382","0.269",,"15.480"
"383","15.405",,"0.224"
"384","0.284",,"0.239"
"385","0.210",,"0.405"
"386","0.403",,"309.256"
"387","308.283",,"0.538"
"388","1.301",,"0.164"
"389","0.405",,"439.788"
"390","439.726",,"0.224"
"391","0.195",,"0.404"
"392","0.464",,"19.381"
"393","19.471",,"0.238"
"394","0.225",,"1.906"
"395","1.814",,"18.137"
"396","18.019",,"0.628"
"397","0.717",,"0.166"
"398","0.225",,"0.283"
"399","0.314",,"0.121"
"400","0.196",,"0.180"
"401","0.103",,"17.987"
"402","18.003",,"0.193"
"403","0.180",,"0.135"
"404","0.148",,"0.269"
"405","0.210",,"0.329"
