"Row_Name","Nose_Poke #1: On","Tray #1: On","Nose_Poke #1: Off"
"95","9.871",,"0.358"
"96","0.345",,"0.314"
"97","0.522",,"9.072"
"98","9.088",,"0.194"
"99","0.074",,"0.269"
"100","0.314",,"0.284"
"101","0.403",,"0.495"
"102","0.134",,"10.916"
"103","11.065",,"0.270"
"104","0.361",,"10.706"
"105","10.347",,"0.240"
"106","0.674",,"0.613"
"107","0.435",,"9.651"
"108","9.846",,"0.165"
"109","0.060",,"0.629"
"110","0.373",,"0.149"
"111","0.465",,"0.329"
"112","0.387",,"6.891"
"113","6.757",,"0.133"
"114","0.283",,"0.479"
"115","0.090",,"0.060"
"116","0.418",,"0.163"
"117","0.149",,"0.300"
"118","0.329",,"0.447"
"119","0.103",,"0.360"
"120","0.629",,"0.209"
"121","0.149",,"9.319"
"122","9.320",,"0.254"
"123","0.224",,"0.210"
"124","0.300",,"0.074"
"125","0.134",,"9.793"
"126","9.658",,"0.209"
"127","0.284",,"0.284"
"128","0.164",,"8.317"
"129","7.971",,"0.209"
"130","0.613",,"1.573"
"131","1.424",,"0.480"
"132","0.524",,"0.779"
"133","0.645",,"7.656"
"134","7.041",,"0.165"
"135","1.125",,"7.824"
"136","7.673",,"0.283"
"137","0.314",,"0.284"
"138","0.269",,"0.194"
"139","0.299",,"0.405"
"140","0.194",,"0.180"
"141","0.344",,"0.134"
"142","0.210",,"0.194"
"143","0.120",,"10.413"
"144","9.995",,"0.209"
"145","0.673",,"0.870"
"146","0.750",,"6.715"
"147","6.805",,"0.254"
"148","0.360",,"0.555"
"149","0.149",,"9.063"
"150","9.199",,"0.224"
"151","0.344",,"0.164"
"152","0.223",,"0.418"
"153","0.209",,"7.622"
"154","7.907",,"0.583"
"155","0.283",,"0.538"
"156","0.612",,"9.586"
"157","9.137",,"0.194"
"158","0.838",,"0.329"
"159","0.165",,"8.355"
"160","8.415",,"0.254"
"161","0.343",,"0.403"
"162","0.403",,"0.254"
"163","0.134",,"8.536"
"164","8.610",,"0.239"
"165","0.224",,"0.525"
"166","0.270",,"0.180"
"167","0.435",,"8.644"
"168","8.659",,"0.613"
"169","0.343",,"0.223"
"170","0.434",,"0.180"
"171","0.329",,"0.403"
"172","0.418",,"0.223"
"173","0.074",,"13.115"
"174","13.264",,"0.180"
"175","0.045",,"0.420"
"176","0.240",,"0.180"
"177","0.419",,"9.296"
"178","9.252",,"0.721"
"179","0.585",,"7.206"
"180","7.355",,"0.223"
"181","0.225",,"0.120"
"182","0.178",,"0.240"
"183","0.269",,"5.286"
"184","5.211",,"0.538"
"185","0.524",,"0.180"
"186","0.134",,"0.360"
"187","0.239",,"6.122"
"188","6.348",,"0.644"
"189","0.134",,"0.149"
"190","0.629",,"4.670"
"191","4.491",,"5.734"
"192","5.555",,"0.777"
"193","1.092",,"1.812"
"194","1.750",,"5.634"
"195","4.870",,"0.224"
"196","1.123",,"0.929"
"197","0.540",,"4.298"
"198","4.432",,"0.793"
"199","0.434",,"0.209"
"200","0.824",,"0.404"
"201","0.209",,"4.446"
"202","4.114",,"0.315"
"203","0.661",,"4.752"
"204","4.333",,"0.194"
"205","0.689",,"0.270"
"206","0.193",,"4.927"
"207","4.375",,"0.178"
"208","0.838",,"0.210"
"209","0.209",,"0.269"
"210","0.225",,"4.505"
"211","4.087",,"0.225"
"212","0.717",,"0.178"
"213","0.239",,"0.404"
"214","0.075",,"4.043"
"215","3.923",,"0.193"
"216","0.628",,"0.764"
"217","0.359",,"3.998"
"218","4.147",,"0.223"
"219","0.509",,"0.283"
"220","0.239",,"0.433"
"221","0.179",,"4.480"
"222","4.705",,"0.600"
"223","0.238",,"0.418"
"224","0.764",,"0.209"
"225","0.165",,"3.985"
"226","3.998",,"0.493"
"227","0.494",,"0.344"
"228","0.210",,"3.731"
"229","3.910",,"0.298"
"230","0.344",,"0.435"
"231","0.149",,"0.480"
"232","0.734",,"3.461"
"233","3.387",,"0.225"
"234","0.254",,"0.029"
"235","0.150",,"0.254"
"236","0.134",,"0.448"
"237","0.538",,"4.150"
"238","3.985",,"0.599"
"239","0.509",,"0.328"
"240","0.418",,"3.823"
"241","3.881",,"0.389"
"242","0.314",,"0.928"
"243","1.078",,"0.494"
"244","0.464",,"3.370"
"245","3.280",,"0.375"
"246","0.360",,"0.509"
"247","0.674",,"3.596"
"248","3.477",,"0.044"
"249","0.179",,"0.345"
"250","0.225",,"0.180"
"251","0.194",,"0.343"
"252","0.449",,"0.315"
"253","0.044",,"4.431"
"254","4.447",,"0.285"
"255","0.495",,"4.448"
"256","4.344",,"0.269"
"257","0.313",,"0.495"
"258","0.434",,"0.149"
"259","0.240",,"3.849"
"260","3.789",,"0.119"
"261","0.238",,"0.778"
"262","0.210",,"0.464"
"263","1.004",,"4.932"
"264","4.677",,"0.749"
"265","0.478",,"0.178"
"266","0.690",,"0.540"
"267","0.269",,"4.148"
"268","3.894",,"0.254"
"269","0.778",,"0.644"
"270","0.284",,"3.805"
"271","4.076",,"0.240"
"272","0.299",,"0.360"
"273","0.240",,"0.403"
"274","0.538",,"0.359"
"275","0.345",,"0.240"
"276","0.330",,"4.869"
"277","4.600",,"0.240"
"278","0.373",,"4.149"
"279","4.166",,"0.149"
"280","0.254",,"0.719"
"281","0.403",,"0.269"
"282","0.553",,"4.014"
"283","3.716",,"0.360"
"284","0.673",,"4.180"
"285","4.196",,"0.403"
"286","0.283",,"0.209"
"287","0.225",,"0.568"
"288","0.702",,"0.524"
"289","0.179",,"3.399"
"290","3.548",,"0.193"
"291","0.269",,"0.299"
"292","0.345",,"0.164"
"293","0.224",,"0.614"
"294","0.240",,"0.120"
"295","0.478",,"4.221"
"296","4.042",,"0.464"
"297","0.553",,"0.449"
"298","0.524",,"1.017"
"299","1.003",,"5.932"
"300","5.903",,"0.135"
"301","0.134",,"0.239"
"302","0.240",,"4.778"
"303","4.463",,"0.240"
"304","0.524",,"0.239"
"305","0.344",,"4.734"
"306","3.983",,"2.982"
"307","3.403",,"0.509"
"308","0.480",,"0.495"
"309","0.778",,"3.895"
"310","3.447",,"0.210"
"311","0.615",,"0.120"
"312","0.208",,"0.689"
"313","0.284",,"3.850"
"314","3.865",,"0.687"
"315","0.598",,"3.865"
"316","4.194",,"0.330"
"317","0.389",,"0.299"
"318","0.298",,"0.149"
"319","0.254",,"0.494"
"320","0.389",,"4.493"
"321","4.493",,"0.313"
"322","0.389",,"0.390"
"323","0.328",,"0.195"
"324","0.285",,"3.985"
"325","3.895",,"0.855"
"326","0.585",,"0.703"
"327","0.885",,"3.788"
"328","3.832",,"0.493"
"329","0.463",,"4.552"
"330","4.447",,"0.539"
"331","0.344",,"0.629"
"332","0.943",,"4.103"
"333","4.105",,"0.569"
"334","0.538",,"0.149"
"335","0.299",,"4.615"
"336","4.076",,"0.225"
"337","0.720",,"0.418"
"338","0.328",,"0.389"
"339","0.540",,"3.597"
"340","3.506",,"0.465"
"341","0.420",,"0.178"
"342","0.313",,"4.095"
"343","4.019",,"0.195"
"344","0.240",,"0.104"
"345","0.120",,"0.165"
"346","0.120",,"0.164"
"347","0.164",,"0.209"
"348","0.225",,"0.598"
"349","0.269",,"5.093"
"350","0.105",,"0.388"
"351","4.956",,"0.315"
"352","0.598",,"4.194"
"353","0.406",,"0.345"
"354","4.090",,"0.360"
"355","0.433",,"0.074"
"356","0.345",,"4.811"
"357","0.224",,"0.419"
"358","4.151",,"0.134"
"359","0.810",,"4.180"
"360","0.343",,"0.283"
"361","4.000",,"0.105"
"362","0.420",,"4.028"
"363","0.239",,"0.360"
"364","3.893",,"0.418"
"365","0.284",,"4.182"
"366","0.298",,"0.298"
"367","4.288",,"0.375"
"368","0.404",,"4.182"
"369","0.254",,"0.418"
"370","4.197",,"4.105"
"371","0.315",,"0.210"
"372","4.343",,"0.585"
"373","0.210",,"4.166"
"374","0.284",,"0.120"
"375","4.422",,"0.403"
"376","0.195",,"0.163"
"377","0.164",,"0.554"
"378","0.403",,"3.747"
"379","0.314",,"0.240"
"380","3.897",,"4.221"
"381","0.194",,"0.403"
"382","4.252",,"0.509"
"383","0.418",,"0.165"
"384","0.330",,"3.926"
"385","0.463",,"0.689"
"386","3.672",,"6.365"
"387","0.673",,"0.286"
"388","6.172",,"0.134"
"389","0.538",,"4.752"
"390","0.361",,"0.343"
"391","4.228",,"0.105"
"392","0.642",,"0.314"
"393","0.269",,"0.405"
"394","0.375",,"4.915"
"395","0.089",,"0.570"
"396","4.975",,"0.209"
"397","0.466",,"0.150"
"398","0.433",,"0.478"
"399","0.270",,"4.661"
"400","0.315",,"0.629"
"401","4.194",,"0.134"
"402","1.229",,"4.269"
"403","0.105",,"0.299"
"404","3.971",,"0.345"
"405","0.553",,"4.042"
"406","0.389",,"0.358"
"407","3.802",,"0.330"
"408","0.418",,"0.359"
"409","0.538",,"5.014"
"410","0.194",,"0.269"
"411","5.194",,"0.135"
"412","0.089",,"0.209"
"413","0.300",,"0.373"
"414","0.209",,"4.244"
"415","0.134",,"0.344"
"416","4.302",,"0.346"
"417","0.360",,"4.341"
"418","0.509",,"0.225"
"419","4.043",,"0.223"
"420","0.433",,"4.373"
"421","0.329",,"0.284"
"422","3.832",,"0.195"
"423","0.720",,"4.341"
"424","0.209",,"0.238"
"425","4.118",,"3.985"
"426","0.447",,"0.345"
"427","3.849",,"4.918"
"428","0.435",,"2.023"
"429","4.440",,"0.313"
"430","2.591",,"4.182"
"431","0.239",,"0.299"
"432","4.271",,"0.838"
"433","0.180",,"0.524"
"434","0.838",,"0.164"
"435","0.509",,"1.182"
"436","0.374",,"5.557"
"437","0.867",,"0.345"
"438","5.572",,"0.059"
"439","0.406",,"0.314"
"440","0.313",,"4.829"
"441","0.090",,"2.250"
"442","4.994",,"4.557"
"443","2.038",,"0.195"
"444","4.602",,"0.164"
"445","0.375",,"0.403"
"446","0.165",,"0.240"
"447","0.240",,"0.180"
"448","0.283",,"5.353"
"449","0.194",,"1.094"
"450","4.918",,"0.119"
"451","1.184",,"4.776"
"452","0.583",,"0.165"
"453","4.658",,"0.133"
"454","0.298",,"0.195"
"455","0.060",,"0.612"
"456","0.269",,"4.129"
"457","0.553",,"0.135"
"458","4.054",,"0.344"
"459","0.283",,"1.334"
"460","0.195",,"5.632"
"461","1.408",,"0.628"
"462","5.543",,"0.541"
"463","0.658",,"4.120"
"464","0.553",,"0.253"
"465","4.181",,"0.613"
"466","0.193",,"0.403"
"467","0.554",,"0.105"
"468","0.283",,"4.131"
"469","0.389",,"0.254"
"470","3.786",,"5.141"
"471","0.480",,"4.464"
"472","4.601",,"0.269"
"473","0.314",,"0.255"
"474","4.568",,"0.793"
"475","0.316",,"4.389"
"476","0.314",,"0.209"
"477","0.644",,"0.702"
"478","4.269",,"0.434"
"479","0.479",,"0.074"
"480","0.837",,"5.017"
"481","0.285",,"0.104"
"482","0.193",,"0.524"
"483","5.001",,"4.299"
"484","0.149",,"0.404"
"485","0.389",,"0.614"
"486","4.391",,"0.283"
"487","0.149",,"4.302"
"488","0.913",,"0.328"
"489","0.103",,"5.887"
"490","4.392",,"0.329"
"491","0.345",,"2.711"
"492","5.824",,"5.965"
"493","0.436",,"0.450"
"494","2.665",,"0.464"
"495","6.024",,"4.690"
"496","0.301",,"0.254"
"497","0.419",,"0.763"
"498","4.810",,"0.253"
"499","0.345",,"4.464"
"500","0.478",,"0.957"
"501","0.374",,"0.375"
"502","4.552",,"0.509"
"503","0.614",,"5.034"
"504","0.778",,"0.898"
"505","0.209",,"0.149"
"506","5.305",,"4.030"
"507","0.568",,"5.844"
"508","0.464",,"0.224"
"509","3.550",,"0.225"
"510","6.038",,"5.561"
"511","0.525",,"0.224"
"512","0.103",,"0.524"
"513","5.441",,"4.990"
"514","0.345",,"0.075"
"515","0.374",,"0.283"
"516","5.125",,"0.210"
"517","0.225",,"0.869"
"518","0.163",,"4.733"
"519","0.346",,"0.254"
"520","0.507",,"5.692"
"521","5.094",,"0.254"
"522","0.149",,"0.345"
"523","5.154",,"4.894"
"524","0.719",,"0.315"
"525","0.254",,"5.063"
"526","5.045",,"0.555"
"527","0.240",,"0.629"
"528","5.109",,"4.901"
"529","0.313",,"0.404"
"530","0.629",,"0.253"
"531","5.170",,"4.760"
"532","0.360",,"0.732"
"533","0.223",,"0.614"
"534","4.865",,"0.134"
"535","0.748",,"5.173"
"536","0.493",,"0.253"
"537","0.330",,"5.067"
"538","4.409",,"0.164"
"539","0.897",,"0.254"
"540","4.586",,"5.590"
"541","0.704",,"0.239"
"542","0.224",,"0.478"
"543","5.051",,"4.708"
"544","0.762",,"0.314"
"545","0.269",,"0.164"
"546","4.902",,"0.283"
"547","0.240",,"4.795"
"548","0.388",,"0.538"
"549","0.045",,"39.538"
"550","4.913",,"0.253"
"551","0.180",,"2.517"
"552","39.971",,"5.289"
"553","0.269",,"0.269"
"554","2.232",,"0.419"
"555","5.349",,"0.088"
"556","0.418",,"5.172"
"557","0.434",,"0.255"
"558","0.134",,"4.869"
"559","4.842",,"0.434"
"560","0.449",,"0.224"
"561","4.810",,"5.318"
"562","0.313",,"0.165"
"563","0.480",,"0.585"
"564","4.615",,"0.210"
"565","0.973",,"5.138"
"566","0.450",,"0.523"
"567","0.255",,"4.524"
"568","4.763",,"0.223"
"569","0.584",,"0.120"
"570","4.674",,"0.119"
"571","0.344",,"0.478"
"572","0.193",,"4.297"
"573","0.150",,"0.298"
"574","0.492",,"0.225"
"575","4.057",,"0.148"
"576","0.283",,"0.704"
"577","0.315",,"5.854"
"578","0.285",,"0.284"
"579","0.450",,"4.984"
"580","5.284",,"0.389"
"581","1.032",,"0.388"
"582","4.775",,"0.164"
"583","0.479",,"4.596"
"584","0.419",,"0.374"
"585","0.328",,"0.374"
"586","4.537",,"0.837"
"587","0.298",,"4.191"
"588","0.358",,"0.239"
"589","1.001",,"0.627"
"590","4.131",,"0.554"
"591","0.284",,"0.223"
"592","0.493",,"6.473"
"593","0.374",,"0.240"
"594","0.479",,"5.591"
"595","5.557",,"0.328"
"596","1.185",,"0.942"
"597","5.020",,"5.284"
"598","0.764",,"0.105"
"599","0.762",,"0.298"
"600","4.878",,"4.926"
"601","0.899",,"0.299"
"602","0.194",,"0.778"
"603","4.882",,"0.420"
"604","0.390",,"4.540"
"605","0.389",,"0.432"
"606","0.703",,"23.820"
"607","4.361",,"0.793"
"608","0.463",,"0.328"
"609","24.044",,"7.811"
"610","0.194",,"0.315"
"611","0.824",,"0.465"
"612","7.780",,"7.789"
"613","0.388",,"3.596"
"614","0.480",,"0.285"
"615","7.611",,"5.620"
"616","3.566",,"0.314"
"617","0.480",,"0.451"
"618","5.514",,"0.134"
"619","0.361",,"5.592"
"620","0.314",,"0.523"
"621","0.405",,"0.193"
"622","5.411",,"0.194"
"623","0.315",,"0.315"
"624","0.583",,"6.786"
"625","0.254",,"0.314"
"626","0.120",,"0.299"
"627","6.546",,"5.739"
"628","0.493",,"0.300"
"629","0.420",,"0.314"
"630","5.543",,"5.363"
"631","0.434",,"0.466"
"632","0.330",,"0.450"
"633","5.423",,"5.524"
"634","0.269",,"0.419"
"635","0.451",,"2.247"
"636","5.240",,"0.134"
"637","0.719",,"0.628"
"638","2.291",,"0.389"
"639","0.358",,"6.830"
"640","0.569",,"0.328"
"641","0.149",,"0.450"
"642","6.065",,"1.095"
"643","1.170",,"6.288"
"644","0.358",,"0.345"
"645","1.230",,"5.552"
"646","5.554",,"0.448"
"647","1.153",,"0.598"
"648","5.582",,"0.358"
"649","0.567",,"0.166"
"650","0.450",,"1.166"
"651","0.432",,"7.269"
"652","0.195",,"0.480"
"653","0.734",,"0.299"
"654","7.462",,"0.720"
"655","0.388",,"11.392"
"656","0.615",,"0.284"
"657","0.615",,"11.874"
"658","11.288",,"0.524"
"659","0.315",,"0.523"
"660","12.067",,"0.734"
"661","0.209",,"6.167"
"662","0.480",,"0.284"
"663","1.002",,"6.182"
"664","5.794",,"0.345"
"665","0.627",,"0.329"
"666","5.644",,"7.161"
"667","0.807",,"1.617"
"668","0.361",,"0.569"
"669","7.341",,"0.223"
"670","0.163",,"0.181"
"671","1.557",,"0.239"
"672","0.569",,"7.014"
"673","0.255",,"0.448"
"674","0.194",,"0.404"
"675","6.923",,"0.225"
"676","0.360",,"0.178"
"677","0.464",,"0.644"
"678","0.328",,"6.277"
"679","0.284",,"0.884"
"680","0.328",,"0.209"
"681","6.412",,"0.180"
"682","0.344",,"5.749"
"683","0.824",,"0.943"
"684","0.255",,"100.425"
"685","5.673",,"0.375"
"686","0.586",,"0.598"
"687","100.442",,"16.982"
"688","0.657",,"0.299"
"689","0.525",,"0.479"
"690","17.191",,"14.016"
"691","0.149",,"1.004"
"692","0.255",,"1.226"
"693","14.316",,"125.718"
"694","0.943",,"959.899"
"695","1.137",,"1.197"
"696","125.717",,"0.403"
"697","959.960",,"15.132"
"698","0.867",,"1.065"
"699","0.807",,"1.019"
"700","15.177",,"0.358"
"701","1.140",,"8.646"
"702","0.913",,"0.271"
"703","0.224",,"13.395"
"704","8.316",,"0.403"
"705","0.840",,"0.269"
"706","13.157",,"14.327"
"707","0.358",,"0.523"
"708","0.523",,"0.105"
"709","13.998",,"0.824"
"710","0.509",,"15.480"
"711","0.509",,"0.494"
"712","0.658",,"0.240"
"713","15.556",,"0.195"
"714","0.479",,"0.329"
"715","0.134",,"6.980"
"716","0.301",,"0.465"
"717","0.224",,"5.992"
"718","6.996",,"0.105"
"719","0.344",,"0.255"
"720","6.083",,"0.269"
"721","0.315",,"0.179"
"722","0.074",,"5.918"
"723","0.284",,"0.179"
"724","0.269",,"0.329"
"725","5.844",,"0.539"
"726","0.223",,"0.329"
"727","0.285",,"0.179"
"728","0.659",,"0.195"
"729","0.149",,"0.208"
"730","0.344",,"8.523"
"731","0.195",,"0.374"
"732","0.195",,"0.480"
"733","8.418",,"0.194"
"734","0.463",,"6.985"
"735","0.464",,"0.450"
"736","0.223",,"0.239"
"737","6.957",,"0.269"
"738","0.298",,"5.974"
"739","0.329",,"0.329"
"740","0.418",,"0.253"
"741","5.764",,"0.403"
"742","0.375",,"0.195"
"743","0.403",,"5.407"
"744","0.329",,"0.134"
"745","0.254",,"0.284"
"746","4.987",,"5.227"
"747","0.570",,"0.254"
"748","0.149",,"0.675"
"749","4.957",,"0.717"
"750","0.554",,"7.626"
"751","0.480",,"0.420"
"752","0.898",,"0.224"
"753","7.161",,"0.180"
"754","0.750",,"0.764"
"755","0.404",,"4.795"
"756","0.135",,"0.239"
"757","0.630",,"0.360"
"758","4.885",,"0.179"
"759","0.314",,"0.510"
"760","0.224",,"6.711"
"761","0.434",,"0.344"
"762","0.285",,"0.358"
"763","6.786",,"0.195"
"764","0.329",,"5.873"
"765","0.403",,"0.404"
"766","0.179",,"0.554"
"767","5.451",,"0.074"
"768","0.840",,"6.978"
"769","0.525",,"0.240"
"770","0.224",,"0.493"
"771","6.722",,"0.149"
"772","0.345",,"5.292"
"773","0.478",,"0.315"
"774","0.298",,"0.239"
"775","4.963",,"0.135"
"776","0.449",,"0.568"
"777","0.315",,"6.293"
"778","0.269",,"0.313"
"779","0.360",,"0.465"
"780","6.291",,"5.976"
"781","0.253",,"0.193"
"782","0.583",,"0.195"
"783","5.482",,"0.283"
"784","0.674",,"6.321"
"785","0.298",,"0.313"
"786","0.135",,"0.809"
"787","6.185",,"0.643"
"788","0.583",,"0.479"
"789","0.539",,"6.744"
"790","0.795",,"0.704"
"791","0.509",,"0.525"
"792","6.682",,"0.299"
"793","0.360",,"5.556"
"794","0.900",,"0.135"
"795","0.419",,"0.344"
"796","5.617",,"0.465"
"797","0.074",,"0.509"
"798","0.315",,"0.193"
"799","0.344",,"11.196"
"800","0.509",,"0.240"
"801","0.284",,"0.239"
"802","11.271",,"0.298"
"803","0.164",,"6.186"
"804","0.313",,"0.104"
"805","0.195",,"0.270"
"806","6.231",,"0.195"
"807","0.164",,"0.224"
"808","0.134",,"0.480"
"809","0.345",,"0.989"
"810","0.224",,"7.873"
"811","0.299",,"0.375"
"812","0.900",,"0.374"
"813","7.961",,"0.208"
"814","0.331",,"0.226"
"815","0.389",,"4.943"
"816","0.420",,"0.179"
"817","0.179",,"0.418"
"818","4.943",,"0.465"
"819","0.179",,"0.284"
"820","0.329",,"0.943"
"821","0.418",,"7.501"
"822","0.358",,"0.254"
"823","0.751",,"0.555"
"824","6.947",,"5.650"
"825","1.001",,"0.809"
"826","0.495",,"0.433"
"827","5.708",,"5.215"
"828","0.300",,"0.329"
"829","0.914",,"0.418"
"830","5.079",,"0.449"
"831","0.359",,"0.375"
"832","0.358",,"7.204"
"833","0.659",,"0.750"
"834","0.449",,"6.622"
"835","7.099",,"0.344"
"836","0.720",,"0.449"
"837","6.652",,"6.083"
"838","0.224",,"0.030"
"839","0.643",,"0.434"
"840","5.875",,"0.193"
"841","0.329",,"7.369"
"842","0.194",,"0.480"
"843","0.344",,"5.948"
"844","7.131",,"0.927"
"845","0.627",,"0.208"
"846","6.008",,"1.093"
"847","0.764",,"7.715"
"848","0.402",,"0.570"
"849","0.688",,"9.714"
"850","7.956",,"1.077"
"851","0.644",,"30.759"
"852","9.744",,"12.245"
"853","1.228",,"0.284"
"854","30.159",,"0.509"
"855","12.679",,"27.154"
"856","0.405",,"0.403"
"857","0.388",,"0.314"
"858","27.185",,"16.847"
"859","0.463",,"0.373"
"860","0.358",,"0.480"
"861","16.712",,
"862","0.405",,
"863","0.403",,
